ride_id,rideable_type,start_time,end_time,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,starttime,week_start
0165C981AA619DF5,electric_bike,2020/12/28 5:14,2020/12/28 5:24,Aberdeen St & Randolph St,18062,Orleans St & Chestnut St (NEXT Apts),620,41.88414517,-87.65434283,41.890205,-87.63911817,member,2020-12-28 05:14:00,2020-12-28
C466C7695CDA45D2,electric_bike,2020/12/28 5:16,2020/12/28 5:30,Ashland Ave & Grand Ave,13434,,,41.8910675,-87.66670033,41.9,-87.71,casual,2020-12-28 05:16:00,2020-12-28
5ACB673D62B4D62B,classic_bike,2020/12/28 5:21,2020/12/28 5:34,Halsted St & Dickens Ave,13192,Clark St & Grace St,TA1307000127,41.919936,-87.64883,41.95078,-87.659172,member,2020-12-28 05:21:00,2020-12-28
76C4E5342A3190BC,electric_bike,2020/12/28 5:22,2020/12/28 5:29,Aberdeen St & Monroe St,13156,Kingsbury St & Kinzie St,KA1503000043,41.88048167,-87.65581883,41.88907833,-87.63913633,member,2020-12-28 05:22:00,2020-12-28
466872512378F670,classic_bike,2020/12/28 5:22,2020/12/28 5:31,Field Blvd & South Water St,15534,Michigan Ave & 8th St,623,41.88634906,-87.61751655,41.872773,-87.623981,member,2020-12-28 05:22:00,2020-12-28
B267744A2B5CEA48,electric_bike,2020/12/28 5:22,2020/12/28 5:34,Michigan Ave & Pearson St,13034,Green St & Madison St,TA1307000120,41.89706983,-87.62488533,41.882124,-87.64633483,member,2020-12-28 05:22:00,2020-12-28
11B8926B1D9CD1C0,electric_bike,2020/12/28 5:23,2020/12/28 5:27,Wabash Ave & 9th St,TA1309000010,Michigan Ave & Madison St,13036,41.87067033,-87.6256305,41.88119683,-87.62567583,member,2020-12-28 05:23:00,2020-12-28
A93EB82EE92A9C3E,classic_bike,2020/12/28 5:24,2020/12/28 5:43,Clark St & Lunt Ave,KA1504000162,Dodge Ave & Mulford St,662,42.009074,-87.67419,42.023463,-87.699595,casual,2020-12-28 05:24:00,2020-12-28
7F0DCAE8595C6292,classic_bike,2020/12/28 5:28,2020/12/28 5:39,Columbus Dr & Randolph St,13263,Clinton St & Jackson Blvd,638,41.884728,-87.619521,41.87811603,-87.63983846,member,2020-12-28 05:28:00,2020-12-28
7FC3340CCBFD36F7,electric_bike,2020/12/28 5:28,2020/12/28 5:53,,,Federal St & Polk St,SL-008,41.82,-87.67,41.8722235,-87.6294505,member,2020-12-28 05:28:00,2020-12-28
9A8C3E3D5E111708,classic_bike,2020/12/28 5:29,2020/12/28 5:36,Kingsbury St & Kinzie St,KA1503000043,St. Clair St & Erie St,13016,41.88917683,-87.63850577,41.89434514,-87.62279838,member,2020-12-28 05:29:00,2020-12-28
F89DD1C2DD3CD93C,electric_bike,2020/12/28 5:34,2020/12/28 6:06,,,,,41.77,-87.58,41.73,-87.68,casual,2020-12-28 05:34:00,2020-12-28
01EDAF74A832DC20,classic_bike,2020/12/28 5:35,2020/12/28 5:43,Morgan St & Polk St,TA1307000130,Wood St & Taylor St (Temp),13285,41.871737,-87.65103,41.86926522,-87.67373085,casual,2020-12-28 05:35:00,2020-12-28
14D51494802C7B96,classic_bike,2020/12/28 5:38,2020/12/28 5:40,Wabash Ave & 9th St,TA1309000010,Michigan Ave & 8th St,623,41.870769,-87.625734,41.872773,-87.623981,member,2020-12-28 05:38:00,2020-12-28
7F005DC09EB7F5F2,electric_bike,2020/12/28 5:38,2020/12/28 5:43,Pine Grove Ave & Waveland Ave,TA1307000150,Clarendon Ave & Junior Ter,13389,41.949257,-87.64638217,41.9610105,-87.6495845,casual,2020-12-28 05:38:00,2020-12-28
65C0281929795D04,classic_bike,2020/12/28 5:39,2020/12/28 5:53,Clinton St & Jackson Blvd,638,Dearborn Pkwy & Delaware Pl,TA1307000128,41.87811603,-87.63983846,41.898969,-87.629912,member,2020-12-28 05:39:00,2020-12-28
0FEEE49349C157B2,classic_bike,2020/12/28 5:39,2020/12/28 5:45,Halsted St & Roscoe St,TA1309000025,Lincoln Ave & Fullerton Ave,TA1309000058,41.94367,-87.64895,41.925905,-87.64926,member,2020-12-28 05:39:00,2020-12-28
973D67B9C6F9D158,classic_bike,2020/12/28 5:40,2020/12/28 5:53,Wells St & Huron St,TA1306000012,Racine Ave & Randolph St,13155,41.894722,-87.634362,41.884069,-87.656853,member,2020-12-28 05:40:00,2020-12-28
9A5602613C8AEA89,classic_bike,2020/12/28 5:41,2020/12/28 5:57,Broadway & Ridge Ave,15578,Broadway & Barry Ave,13137,41.98404461,-87.66027383,41.93758232,-87.64409781,member,2020-12-28 05:41:00,2020-12-28
78F90B2588121DB0,electric_bike,2020/12/28 5:44,2020/12/28 5:53,Aberdeen St & Monroe St,13156,Clinton St & Tilden St,13037,41.88038317,-87.65571183,41.87599433,-87.64113517,member,2020-12-28 05:44:00,2020-12-28
37638D8195C1E34A,electric_bike,2020/12/28 5:45,2020/12/28 5:50,Ashland Ave & Grand Ave,13434,Base - 2132 W Hubbard Warehouse,Hubbard Bike-checking (LBS-WH-TEST),41.89109,-87.66666183,41.8899,-87.680251,member,2020-12-28 05:45:00,2020-12-28
63FE0F1A8F565FCB,classic_bike,2020/12/28 5:45,2020/12/28 5:55,Leavitt St & Archer Ave,KA1503000068,Western Ave & 28th St,KA1504000168,41.82879202,-87.68060446,41.84151771,-87.68513144,casual,2020-12-28 05:45:00,2020-12-28
EE97EABAA2F98B1C,classic_bike,2020/12/28 5:48,2020/12/28 6:01,Indiana Ave & 26th St,TA1307000005,Wabash Ave & Roosevelt Rd,TA1305000002,41.845687,-87.622481,41.867227,-87.625961,member,2020-12-28 05:48:00,2020-12-28
DCF896ADC0E65B2E,classic_bike,2020/12/28 5:48,2020/12/28 5:56,Wells St & Evergreen Ave,TA1308000049,Fairbanks St & Superior St,18003,41.906724,-87.63483,41.895748,-87.620104,member,2020-12-28 05:48:00,2020-12-28
31FDAF26B658FC4A,classic_bike,2020/12/28 5:50,2020/12/28 5:57,Clark St & Schiller St,TA1309000024,Larrabee St & Oak St,KA1504000116,41.907993,-87.631501,41.90021949,-87.64298547,member,2020-12-28 05:50:00,2020-12-28
2433D19CAFDBA17E,electric_bike,2020/12/28 5:51,2020/12/28 5:54,Larrabee St & Kingsbury St,TA1306000009,Sedgwick St & Huron St,TA1307000062,41.89771683,-87.64308817,41.89461567,-87.63824483,member,2020-12-28 05:51:00,2020-12-28
A7439CE7DCBBF5BE,classic_bike,2020/12/28 5:52,2020/12/28 5:56,Sheridan Rd & Irving Park Rd,13063,Pine Grove Ave & Waveland Ave,TA1307000150,41.954245,-87.654406,41.94947274,-87.64645278,member,2020-12-28 05:52:00,2020-12-28
2ABFF2A10A882C75,classic_bike,2020/12/28 5:53,2020/12/28 5:57,Damen Ave & Thomas St (Augusta Blvd),TA1307000070,Damen Ave & Pierce Ave,TA1305000041,41.901315,-87.677409,41.90939601,-87.67769193,member,2020-12-28 05:53:00,2020-12-28
E1B3CF69AD392B1B,classic_bike,2020/12/28 5:54,2020/12/28 5:59,Dearborn St & Van Buren St,624,Daley Center Plaza,TA1306000010,41.876268,-87.629155,41.884241,-87.629634,member,2020-12-28 05:54:00,2020-12-28
A16A02A31285677F,classic_bike,2020/12/28 5:55,2020/12/28 6:01,Clarendon Ave & Junior Ter,13389,Broadway & Waveland Ave,13325,41.961004,-87.649603,41.949074,-87.648636,member,2020-12-28 05:55:00,2020-12-28
606D96A43DCA865A,classic_bike,2020/12/28 5:56,2020/12/28 6:18,Franklin St & Lake St,TA1307000111,Lake Shore Dr & Belmont Ave,TA1309000049,41.885837,-87.6355,41.940775,-87.639192,member,2020-12-28 05:56:00,2020-12-28
2BFCBAFC6B503F5E,electric_bike,2020/12/28 5:57,2020/12/28 6:06,South Shore Dr & 74th St,KA1503000020,,,41.76232333,-87.5591935,41.76,-87.56,casual,2020-12-28 05:57:00,2020-12-28
2A1FC137510A8B68,classic_bike,2020/12/28 5:58,2020/12/28 6:04,Orleans St & Chestnut St (NEXT Apts),620,St. Clair St & Erie St,13016,41.898203,-87.637536,41.89434514,-87.62279838,member,2020-12-28 05:58:00,2020-12-28
B34BB594E5565E88,classic_bike,2020/12/28 5:59,2020/12/28 6:12,Canal St & Adams St,13011,Columbus Dr & Randolph St,13263,41.879255,-87.639904,41.884728,-87.619521,member,2020-12-28 05:59:00,2020-12-28
B3313C62D954B292,classic_bike,2020/12/28 6:01,2020/12/28 6:26,Lincoln Ave & Belmont Ave,TA1309000042,Lake Shore Dr & Wellington Ave,TA1307000041,41.939365,-87.668385,41.93668845,-87.63682902,member,2020-12-28 06:01:00,2020-12-28
9E1E90F699EFEA2B,classic_bike,2020/12/28 6:02,2020/12/28 6:08,Larrabee St & Kingsbury St,TA1306000009,Orleans St & Merchandise Mart Plaza,TA1305000022,41.897764,-87.642884,41.888243,-87.63639,member,2020-12-28 06:02:00,2020-12-28
